ix,iy,x_disp,y_disp
32.000,77.000,32.000,152.000
33.000,77.000,33.000,152.000
34.000,77.000,34.000,152.000
35.000,78.000,35.000,151.000
36.000,78.000,36.000,151.000
37.000,78.000,37.000,151.000
38.000,79.000,38.000,150.000
39.000,79.000,39.000,150.000
40.000,80.000,40.000,149.000
41.000,80.000,41.000,149.000
42.000,80.000,42.000,149.000
43.000,81.000,43.000,148.000
44.000,81.000,44.000,148.000
45.000,82.000,45.000,147.000
46.000,82.000,46.000,147.000
47.000,82.000,47.000,147.000
48.000,83.000,48.000,146.000
49.000,83.000,49.000,146.000
50.000,83.000,50.000,146.000
51.000,84.000,51.000,145.000
52.000,84.000,52.000,145.000
53.000,85.000,53.000,144.000
54.000,85.000,54.000,144.000
55.000,85.000,55.000,144.000
56.000,85.000,56.000,144.000
57.000,86.000,57.000,143.000
58.000,86.000,58.000,143.000
59.000,87.000,59.000,142.000
60.000,87.000,60.000,142.000
61.000,87.000,61.000,142.000
62.000,88.000,62.000,141.000
63.000,88.000,63.000,141.000
64.000,88.000,64.000,141.000
65.000,88.000,65.000,141.000
66.000,89.000,66.000,140.000
67.000,89.000,67.000,140.000
68.000,89.000,68.000,140.000
69.000,90.000,69.000,139.000
70.000,90.000,70.000,139.000
71.000,90.000,71.000,139.000
72.000,91.000,72.000,138.000
73.000,91.000,73.000,138.000
74.000,91.000,74.000,138.000
75.000,91.000,75.000,138.000
76.000,92.000,76.000,137.000
77.000,92.000,77.000,137.000
