ix,iy,x_disp,y_disp
110.000,99.000,110.000,130.000
111.000,99.000,111.000,130.000
112.000,99.000,112.000,130.000
113.000,100.000,113.000,129.000
114.000,100.000,114.000,129.000
115.000,100.000,115.000,129.000
116.000,100.000,116.000,129.000
117.000,101.000,117.000,128.000
118.000,101.000,118.000,128.000
119.000,101.000,119.000,128.000
120.000,101.000,120.000,128.000
121.000,101.000,121.000,128.000
122.000,101.000,122.000,128.000
123.000,101.000,123.000,128.000
124.000,101.000,124.000,128.000
125.000,101.000,125.000,128.000
126.000,102.000,126.000,127.000
127.000,102.000,127.000,127.000
128.000,102.000,128.000,127.000
129.000,102.000,129.000,127.000
130.000,102.000,130.000,127.000
131.000,102.000,131.000,127.000
132.000,102.000,132.000,127.000
133.000,102.000,133.000,127.000
134.000,102.000,134.000,127.000
135.000,102.000,135.000,127.000
136.000,102.000,136.000,127.000
137.000,102.000,137.000,127.000
138.000,102.000,138.000,127.000
139.000,102.000,139.000,127.000
140.000,102.000,140.000,127.000
141.000,102.000,141.000,127.000
142.000,102.000,142.000,127.000
143.000,102.000,143.000,127.000
144.000,102.000,144.000,127.000
145.000,102.000,145.000,127.000
146.000,102.000,146.000,127.000
147.000,102.000,147.000,127.000
148.000,102.000,148.000,127.000
149.000,102.000,149.000,127.000
150.000,102.000,150.000,127.000
151.000,102.000,151.000,127.000
152.000,102.000,152.000,127.000
153.000,102.000,153.000,127.000
154.000,102.000,154.000,127.000
155.000,102.000,155.000,127.000
156.000,102.000,156.000,127.000
157.000,102.000,157.000,127.000
158.000,102.000,158.000,127.000
159.000,102.000,159.000,127.000
160.000,102.000,160.000,127.000
161.000,102.000,161.000,127.000
162.000,102.000,162.000,127.000
163.000,102.000,163.000,127.000
164.000,102.000,164.000,127.000
165.000,102.000,165.000,127.000
166.000,102.000,166.000,127.000
167.000,102.000,167.000,127.000
168.000,101.000,168.000,128.000
169.000,101.000,169.000,128.000
170.000,101.000,170.000,128.000
171.000,101.000,171.000,128.000
172.000,101.000,172.000,128.000
173.000,101.000,173.000,128.000
174.000,102.000,174.000,127.000
175.000,102.000,175.000,127.000
176.000,102.000,176.000,127.000
177.000,102.000,177.000,127.000
178.000,101.000,178.000,128.000
