ix,iy,x_disp,y_disp
33.000,70.000,33.000,159.000
34.000,71.000,34.000,158.000
35.000,71.000,35.000,158.000
36.000,71.000,36.000,158.000
37.000,72.000,37.000,157.000
38.000,72.000,38.000,157.000
39.000,72.000,39.000,157.000
40.000,72.000,40.000,157.000
41.000,73.000,41.000,156.000
42.000,73.000,42.000,156.000
43.000,73.000,43.000,156.000
44.000,74.000,44.000,155.000
45.000,74.000,45.000,155.000
46.000,74.000,46.000,155.000
47.000,75.000,47.000,154.000
48.000,75.000,48.000,154.000
49.000,75.000,49.000,154.000
50.000,75.000,50.000,154.000
51.000,76.000,51.000,153.000
52.000,76.000,52.000,153.000
53.000,76.000,53.000,153.000
54.000,77.000,54.000,152.000
55.000,77.000,55.000,152.000
56.000,77.000,56.000,152.000
57.000,78.000,57.000,151.000
58.000,78.000,58.000,151.000
59.000,79.000,59.000,150.000
60.000,79.000,60.000,150.000
61.000,79.000,61.000,150.000
62.000,79.000,62.000,150.000
63.000,80.000,63.000,149.000
64.000,80.000,64.000,149.000
