ix,iy,x_disp,y_disp
31.000,45.000,31.000,184.000
32.000,45.000,32.000,184.000
33.000,45.000,33.000,184.000
34.000,46.000,34.000,183.000
35.000,46.000,35.000,183.000
36.000,46.000,36.000,183.000
37.000,47.000,37.000,182.000
38.000,47.000,38.000,182.000
39.000,47.000,39.000,182.000
40.000,47.000,40.000,182.000
41.000,48.000,41.000,181.000
42.000,48.000,42.000,181.000
43.000,48.000,43.000,181.000
44.000,49.000,44.000,180.000
45.000,49.000,45.000,180.000
46.000,49.000,46.000,180.000
47.000,50.000,47.000,179.000
48.000,50.000,48.000,179.000
49.000,50.000,49.000,179.000
50.000,50.000,50.000,179.000
51.000,51.000,51.000,178.000
52.000,51.000,52.000,178.000
53.000,51.000,53.000,178.000
54.000,52.000,54.000,177.000
55.000,52.000,55.000,177.000
56.000,52.000,56.000,177.000
57.000,53.000,57.000,176.000
58.000,53.000,58.000,176.000
59.000,53.000,59.000,176.000
60.000,54.000,60.000,175.000
61.000,54.000,61.000,175.000
62.000,54.000,62.000,175.000
63.000,54.000,63.000,175.000
64.000,55.000,64.000,174.000
65.000,55.000,65.000,174.000
66.000,56.000,66.000,173.000
67.000,56.000,67.000,173.000
68.000,56.000,68.000,173.000
69.000,57.000,69.000,172.000
70.000,57.000,70.000,172.000
71.000,57.000,71.000,172.000
72.000,58.000,72.000,171.000
73.000,58.000,73.000,171.000
74.000,59.000,74.000,170.000
75.000,59.000,75.000,170.000
