ix,iy,x_disp,y_disp
20.000,49.000,20.000,180.000
21.000,49.000,21.000,180.000
22.000,49.000,22.000,180.000
23.000,50.000,23.000,179.000
24.000,50.000,24.000,179.000
25.000,50.000,25.000,179.000
26.000,51.000,26.000,178.000
27.000,51.000,27.000,178.000
28.000,51.000,28.000,178.000
29.000,51.000,29.000,178.000
30.000,52.000,30.000,177.000
31.000,52.000,31.000,177.000
32.000,52.000,32.000,177.000
33.000,53.000,33.000,176.000
34.000,53.000,34.000,176.000
35.000,53.000,35.000,176.000
36.000,54.000,36.000,175.000
37.000,54.000,37.000,175.000
38.000,54.000,38.000,175.000
39.000,54.000,39.000,175.000
40.000,55.000,40.000,174.000
41.000,55.000,41.000,174.000
42.000,55.000,42.000,174.000
43.000,56.000,43.000,173.000
44.000,56.000,44.000,173.000
45.000,56.000,45.000,173.000
46.000,56.000,46.000,173.000
47.000,57.000,47.000,172.000
48.000,57.000,48.000,172.000
49.000,57.000,49.000,172.000
50.000,57.000,50.000,172.000
51.000,57.000,51.000,172.000
52.000,58.000,52.000,171.000
53.000,58.000,53.000,171.000
54.000,58.000,54.000,171.000
55.000,58.000,55.000,171.000
56.000,59.000,56.000,170.000
57.000,59.000,57.000,170.000
58.000,59.000,58.000,170.000
59.000,60.000,59.000,169.000
60.000,60.000,60.000,169.000
61.000,60.000,61.000,169.000
62.000,61.000,62.000,168.000
63.000,61.000,63.000,168.000
64.000,61.000,64.000,168.000
